"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"All",1,3222838,96,3222827,47
"All",2,2787478,89,2787487,34
"All",3,2494951,100,2494996,28
"All",4,2279012,95,2279093,40
"All",5,2117464,73,2117585,27
"All",6,1994726,58,1994879,30
"All",7,1892406,68,1892572,40
"All",8,1801962,53,1802136,31
"All",9,1732701,60,1732891,35
"All",10,1677540,50,1677746,39
"All",11,1631134,34,1631336,36
"All",12,1590766,44,1590950,32
"All",13,1556472,40,1556659,31
"All",14,1525879,33,1526068,31
"All",15,1498667,48,1498845,30
"All",16,1477040,23,1477236,27
"All",17,1459231,34,1459411,21
"All",18,1444018,33,1444212,18
"All",19,1430663,25,1430862,17
"All",20,1419369,32,1419568,26
"All",21,1409398,30,1409595,22
"All",22,1399287,24,1399478,12
"All",23,1379360,36,1379542,16
"All",24,1362218,25,1362409,12
"All",25,1345975,27,1346166,11
"All",26,1330046,18,1330249,11
"All",27,1316621,18,1316815,12
"All",28,1304929,26,1305110,18
"All",29,1293484,27,1293660,8
"All",30,1284965,23,1285145,12
"All",31,1278437,23,1278621,9
"All",32,1270697,17,1270890,10
"All",33,1264005,19,1264208,8
"All",34,1257442,30,1257640,6
"All",35,1251324,16,1251560,7
"All",36,1244389,16,1244629,13
"All",37,1239666,12,1239913,7
"All",38,1235463,14,1235704,5
"All",39,1232168,14,1232408,9
"All",40,1228500,14,1228735,7
"All",41,1224653,16,1224899,3
"All",42,1220414,12,1220688,4
"All",43,1215595,19,1215849,4
"All",44,1211957,21,1212226,8
"All",45,1208785,10,1209060,4
"All",46,1204162,14,1204448,7
"All",47,1200029,9,1200311,3
"All",48,1195471,13,1195751,7
"All",49,1190364,7,1190648,4
"All",50,1182377,15,1182651,7
"All",51,1176293,12,1176546,5
"All",52,1170125,8,1170380,5
"All",53,1163473,12,1163733,6
"All",54,1145710,8,1145958,5
"All",55,1128724,12,1128953,0
"All",56,1110025,5,1110247,6
"All",57,1070285,9,1070481,3
"All",58,1047277,7,1047441,4
"All",59,1030380,9,1030524,4
"All",60,1015794,8,1015896,4
"All",61,998997,7,999067,4
"All",62,979408,10,979428,1
"All",63,956267,14,956239,2
"All",64,912064,6,911952,5
"All",65,885272,8,885100,5
"All",66,863171,3,862939,6
"All",67,837715,8,837441,3
"All",68,808992,5,808658,4
"All",69,779696,5,779290,0
"All",70,737125,3,736624,5
"All",71,629280,5,628512,8
"All",72,581707,1,580845,6
"All",73,545357,2,544413,1
"All",74,506594,5,505549,1
"All",75,465838,2,464705,0
"All",76,421675,2,420406,2
"All",77,367421,0,366037,2
"All",78,272915,3,271215,4
"All",79,229149,3,227352,3
"All",80,200071,1,198191,2
"All",81,179585,2,177638,3
"All",82,162991,1,160981,1
"All",83,148427,1,146368,3
"All",84,134044,1,131944,1
"All",85,89646,0,87308,2
"All",86,79466,0,77105,1
"All",87,73696,2,71311,3
"All",88,69072,1,66669,1
"All",89,65086,1,62680,1
"All",90,61346,1,58935,1
"AZ",1,1878077,75,1878068,43
"AZ",2,1607052,60,1607051,22
"AZ",3,1425956,74,1425984,23
"AZ",4,1293793,61,1293849,32
"AZ",5,1193824,51,1193901,23
"AZ",6,1116744,36,1116836,24
"AZ",7,1052533,50,1052633,20
"AZ",8,995919,33,996038,16
"AZ",9,952659,37,952791,23
"AZ",10,918634,29,918766,26
"AZ",11,889386,21,889506,21
"AZ",12,863359,25,863471,17
"AZ",13,841256,23,841366,18
"AZ",14,822011,17,822123,18
"AZ",15,804454,25,804556,18
"AZ",16,790576,14,790686,17
"AZ",17,779096,19,779198,10
"AZ",18,769439,16,769552,9
"AZ",19,760739,17,760857,9
"AZ",20,753205,17,753322,17
"AZ",21,746582,14,746693,12
"AZ",22,741051,14,741149,3
"AZ",23,736203,18,736295,8
"AZ",24,732065,15,732153,5
"AZ",25,729052,14,729144,7
"AZ",26,726294,11,726386,8
"AZ",27,723911,12,723996,6
"AZ",28,722056,14,722134,8
"AZ",29,719985,15,720053,4
"AZ",30,718493,15,718564,6
"AZ",31,716845,14,716923,4
"AZ",32,714035,12,714121,5
"AZ",33,711567,10,711665,6
"AZ",34,709164,14,709256,3
"AZ",35,707092,5,707207,2
"AZ",36,705057,8,705169,9
"AZ",37,703580,6,703694,4
"AZ",38,702223,8,702333,3
"AZ",39,700910,9,701018,3
"AZ",40,699799,7,699903,5
"AZ",41,698687,10,698793,2
"AZ",42,697537,10,697662,3
"AZ",43,695551,8,695669,1
"AZ",44,694519,7,694641,3
"AZ",45,693385,8,693509,3
"AZ",46,690956,10,691085,3
"AZ",47,688943,4,689073,0
"AZ",48,687016,7,687143,3
"AZ",49,684800,3,684927,2
"AZ",50,681391,7,681510,2
"AZ",51,678815,3,678925,3
"AZ",52,676507,6,676617,3
"AZ",53,673919,6,674039,4
"AZ",54,666441,5,666548,3
"AZ",55,660032,5,660127,0
"AZ",56,652391,2,652486,5
"AZ",57,639061,7,639138,3
"AZ",58,631253,4,631316,3
"AZ",59,623460,2,623510,1
"AZ",60,617733,3,617756,2
"AZ",61,610618,2,610617,3
"AZ",62,602269,5,602245,0
"AZ",63,591307,8,591246,1
"AZ",64,570062,4,569962,3
"AZ",65,555697,4,555567,3
"AZ",66,542568,2,542402,3
"AZ",67,528265,4,528071,3
"AZ",68,512019,4,511779,3
"AZ",69,493360,1,493067,0
"AZ",70,464923,3,464545,4
"AZ",71,405888,4,405308,8
"AZ",72,376481,0,375834,3
"AZ",73,355266,0,354561,1
"AZ",74,332319,1,331543,1
"AZ",75,306471,2,305629,0
"AZ",76,279162,2,278236,1
"AZ",77,244945,0,243945,2
"AZ",78,185197,3,184001,4
"AZ",79,156209,0,154963,1
"AZ",80,137957,1,136655,1
"AZ",81,125234,2,123896,3
"AZ",82,113088,0,111700,1
"AZ",83,102573,1,101151,2
"AZ",84,93229,1,91787,0
"AZ",85,66840,0,65218,1
"AZ",86,59237,0,57603,1
"AZ",87,54709,0,53057,2
"AZ",88,50813,0,49143,1
"AZ",89,47501,1,45833,1
"AZ",90,44412,1,42742,1
"PB",1,1344761,21,1344759,4
"PB",2,1180426,29,1180436,12
"PB",3,1068995,26,1069012,5
"PB",4,985219,34,985244,8
"PB",5,923640,22,923684,4
"PB",6,877982,22,878043,6
"PB",7,839873,18,839939,20
"PB",8,806043,20,806098,15
"PB",9,780042,23,780100,12
"PB",10,758906,21,758980,13
"PB",11,741748,13,741830,15
"PB",12,727407,19,727479,15
"PB",13,715216,17,715293,13
"PB",14,703868,16,703945,13
"PB",15,694213,23,694289,12
"PB",16,686464,9,686550,10
"PB",17,680135,15,680213,11
"PB",18,674579,17,674660,9
"PB",19,669924,8,670005,8
"PB",20,666164,15,666246,9
"PB",21,662816,16,662902,10
"PB",22,658236,10,658329,9
"PB",23,643157,18,643247,8
"PB",24,630153,10,630256,7
"PB",25,616923,13,617022,4
"PB",26,603752,7,603863,3
"PB",27,592710,6,592819,6
"PB",28,582873,12,582976,10
"PB",29,573499,12,573607,4
"PB",30,566472,8,566581,6
"PB",31,561592,9,561698,5
"PB",32,556662,5,556769,5
"PB",33,552438,9,552543,2
"PB",34,548278,16,548384,3
"PB",35,544232,11,544353,5
"PB",36,539332,8,539460,4
"PB",37,536086,6,536219,3
"PB",38,533240,6,533371,2
"PB",39,531258,5,531390,6
"PB",40,528701,7,528832,2
"PB",41,525966,6,526106,1
"PB",42,522877,2,523026,1
"PB",43,520044,11,520180,3
"PB",44,517438,14,517585,5
"PB",45,515400,2,515551,1
"PB",46,513206,4,513363,4
"PB",47,511086,5,511238,3
"PB",48,508455,6,508608,4
"PB",49,505564,4,505721,2
"PB",50,500986,8,501141,5
"PB",51,497478,9,497621,2
"PB",52,493618,2,493763,2
"PB",53,489554,6,489694,2
"PB",54,479269,3,479410,2
"PB",55,468692,7,468826,0
"PB",56,457634,3,457761,1
"PB",57,431224,2,431343,0
"PB",58,416024,3,416125,1
"PB",59,406920,7,407014,3
"PB",60,398061,5,398140,2
"PB",61,388379,5,388450,1
"PB",62,377139,5,377183,1
"PB",63,364960,6,364993,1
"PB",64,342002,2,341990,2
"PB",65,329575,4,329533,2
"PB",66,320603,1,320537,3
"PB",67,309450,4,309370,0
"PB",68,296973,1,296879,1
"PB",69,286336,4,286223,0
"PB",70,272202,0,272079,1
"PB",71,223392,1,223204,0
"PB",72,205226,1,205011,3
"PB",73,190091,2,189852,0
"PB",74,174275,4,174006,0
"PB",75,159367,0,159076,0
"PB",76,142513,0,142170,1
"PB",77,122476,0,122092,0
"PB",78,87718,0,87214,0
"PB",79,72940,3,72389,2
"PB",80,62114,0,61536,1
"PB",81,54351,0,53742,0
"PB",82,49903,1,49281,0
"PB",83,45854,0,45217,1
"PB",84,40815,0,40157,1
"PB",85,22806,0,22090,1
"PB",86,20229,0,19502,0
"PB",87,18987,2,18254,1
"PB",88,18259,1,17526,0
"PB",89,17585,0,16847,0
"PB",90,16934,0,16193,0
